ƒата,ћесто,√радусы,—корость ветра
09.07.21,ћинск,30,5.1
09.07.21,якутск,20,15.3
10.07.21,ћинск,32,4.1
10.07.21,якутск,19,12.3
11.07.21,ћинск,33,7.1
11.07.21,якутск,18,10.3
12.07.21,ћинск,35,9.1
12.07.21,якутск,19,9.3
13.07.21,ћинск,37,8.1
13.07.21,якутск,20,10.3
14.07.21,ћинск,38,6.1
14.07.21,якутск,21,12.3
15.07.21,ћинск,39,9.1
15.07.21,якутск,20,11.3
16.07.21,ћинск,38,5.1
16.07.21,якутск,18,14.3
17.07.21,ћинск,37,7.1
17.07.21,якутск,17,16.3
18.07.21,ћинск,38,6.1
18.07.21,якутск,18,13.3
19.07.21,ћинск,39,8.1
19.07.21,якутск,19,15.3
